Rank,Name,Ticker,Industry,Sector,Returns,Volatility,P/E Ratio
1096,CNH Industrial NV,CNHI,Farm & Heavy Construction Machinery,Industrials,-0.0024038248454787735,1.6793639613841,12.39
1097,AdvanSix Inc,ASIX,Chemicals,Basic Materials,-0.0024252263839302053,1.6025354072132634,6.67
1098,BankUnited Inc,BKU,Banks - Regional,Financial Services,-0.00243068730200942,1.5854558086838937,8.38
1099,Commerce Bancshares Inc,CBSH,Banks - Regional,Financial Services,-0.0024442559007307645,1.9830259641403725,18.76
1100,Oak Valley Bancorp,OVLY,Banks - Regional,Financial Services,-0.0024462398778250048,1.5153174840364518,11.66
1101,Nippon Carbon Co Ltd,NPV,Specialty Chemicals,Basic Materials,-0.002447038016755731,1.5973750617344409,10.70
1102,Itau Corpbanca,ITCB,Banks - Regional,Financial Services,-0.002499997615814209,1.8468180335466937,4.13
1103,Glen Burnie Bancorp,GLBZ,Banks - Regional,Financial Services,-0.002514726393803372,1.4435970077760116,15.67
1104,Bellicum Pharmaceuticals Inc,BLCM,Biotechnology,Healthcare,-0.0025156848835495285,2.3596558679945727,8.75
1105,Bank of Hawaii Corp,BOH,Banks - Regional,Financial Services,-0.0025986441198512403,2.065197184651928,14.45
1106,AMTD IDEA Group,AMTD,Asset Management,Financial Services,-0.002598665717153796,1.6605384768931473,1.47
1107,Merchant House International Ltd,MHI,Footwear & Accessories,Consumer Cyclical,-0.002631555611846354,1.8181792870576945,0.51
1108,HMN Financial Inc,HMNF,Banks - Regional,Financial Services,-0.002638582712195107,1.8974502223240424,12.47
1109,Fifth Third Bancorp,FITB,Banks - Regional,Financial Services,-0.002644729821225994,2.0765241839423667,10.64
1110,MaxLinear Inc,MXL,Semiconductors,Technology,-0.0026468628203317776,1.667765757472398,22.17
1111,JCET Group Co Ltd,JCE,Semiconductors,Technology,-0.002649004029305581,1.4199128525749094,12.82
1112,Johnson Outdoors Inc,JOUT,Leisure,Consumer Cyclical,-0.0026555270562750423,1.8279615177124247,15.65
1113,Koninklijke DSM NV,DSM,Specialty Chemicals,Basic Materials,-0.002656039889675209,1.6995065531840214,19.34
1114,TriCo Bancshares,TCBK,Banks - Regional,Financial Services,-0.00265670764459669,1.7597872936068857,13.12
1115,Unilever PLC,UL,Household & Personal Products,Consumer Defensive,-0.0026770964563553046,1.9127037648086052,21.37
1116,PGT Innovations Inc,PGTI,Building Products & Equipment,Industrials,-0.002680924294007607,1.6718098305487363,10.91
1117,ESSA Bancorp Inc,ESSA,Banks - Regional,Financial Services,-0.0026899772804888393,1.2754095062354311,10.10
1118,Fulgent Genetics Inc,FLGT,Diagnostics & Research,Healthcare,-0.0026954151914918884,1.4819733788951317,3.44
1119,Alerus Financial Corp,ALRS,Banks - Regional,Financial Services,-0.002792169751747959,1.4424490546194588,10.21
1120,Haynes International Inc,HAYN,Metal Fabrication,Industrials,-0.002792602489363409,1.523472164683009,14.12
1121,Hologic Inc,HOLX,Medical Instruments & Supplies,Healthcare,-0.002872078656469758,1.9672885027825595,15.17
1122,East West Bancorp Inc,EWBC,Banks - Diversified,Financial Services,-0.0028731065434360356,1.7224477611613338,9.55
1123,Hub Group Inc,HUBG,Integrated Freight & Logistics,Industrials,-0.0029015417543717618,2.1072119534585596,7.40
1124,Signature Bank,SBNY,Banks - Regional,Financial Services,-0.002909122938509718,1.967797587746452,5.69
1125,Diversified Healthcare Trust,DHC,REIT - Healthcare Facilities,Real Estate,-0.00291188017915762,1.8611740740673883,0.44
1126,Sirius XM Holdings Inc,SIRI,Entertainment,Communication Services,-0.002945505307640027,1.8524263544785333,20.66
1127,AGBA Group Holding Ltd,AGBA,Shell Companies,Financial Services,-0.0029614740999285107,1.953227065066135,2.03
1128,BOK Financial Corp,BOKF,Banks - Regional,Financial Services,-0.002992543387902029,1.8060580504912274,14.90
1129,GSK PLC,GSK,Drug Manufacturers - General,Healthcare,-0.002997071524428829,1.7531446605235383,13.43
1130,Viavi Solutions Inc,VIAV,Communication Equipment,Technology,-0.003024166606901616,1.9327296921463837,24.45
1131,HCA Healthcare Inc,HCA,Medical Care Facilities,Healthcare,-0.003045761075965023,1.7386090576330524,14.39
1132,Nicolas Correa SA,NEA,Specialty Industrial Machinery,Industrials,-0.003086416800562628,1.648995180915466,10.74
1133,Southern Copper Corp,SCCO,Copper,Basic Materials,-0.0030905900327863538,1.9788471045535894,20.28
1134,Dover Corp,DOV,Specialty Industrial Machinery,Industrials,-0.0031116021303747147,1.8976758307958375,17.33
1135,JetBlue Airways Corp,JBLU,Airlines,Industrials,-0.0031797228734756753,1.7754327675811852,12.89
1136,Capital Product Partners LP,CPLP,Marine Shipping,Industrials,-0.0031948742725567266,1.6280589594195831,1.87
1137,Microchip Technology Inc,MCHP,Semiconductors,Technology,-0.0032098804333620216,1.5303108587176615,22.17
1138,Aroundtown SA,TOWN,Real Estate Services,Real Estate,-0.0032205628527596846,1.572939278952686,4.89
1139,Mannatech Inc,MTEX,Household & Personal Products,Consumer Defensive,-0.003257341335002472,1.9939097166762592,7.54
1140,Independent Bank Group Inc,IBTX,Banks - Regional,Financial Services,-0.0032679738562091504,1.542596008590461,11.82
1141,"MFA Financial, Inc.",MFV,Reit—Mortgage,Real Estate,-0.0033388951069659623,1.7372926626504392,10.40
1142,G J Steel PCL,GJS,Steel,Basic Materials,-0.0033492677560703395,1.5121380003815956,5.39
1143,Arch Capital Group Ltd,ACGL,Insurance - Diversified,Financial Services,-0.003389836353074596,1.8161919756449763,20.49
